Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
1769,20040825,20240422,23,53.8312,11.1713,esmühlen,Mecklenburg-Vorpommern
1770,20060831,20240422,38,52.4233,11.966,erhütte-Grieben,Sachsen-Anhalt
1792,20051114,20240422,27,52.7553,7.4815,Berßen,Niedersachsen
1793,20060627,20240422,104,51.8806,11.465,lingen-Groß Börnecke,Sachsen-Anhalt
1801,20030702,20240422,31,52.4169,12.8006,Kreutz-Krielow,Brandenburg
1803,20040727,20240422,35,54.0714,12.3238,Lüsewitz,Mecklenburg-Vorpommern
1810,20140604,20240422,55,52.9094,13.5371,rfheide-Groß Schönebeck,Brandenburg
1813,20061212,20240422,17,54.4032,9.7654,Wittensee,Schleswig-Holstein
1814,20020523,20240422,87,49.9052,8.4459,-Gerau-Wallerstädten,Hessen
1827,20061210,20240422,3,54.3726,11.0828,enbrode,Schleswig-Holstein
1832,19980225,20240422,1436,49.1129,13.1338,er Arber,Bayern
1844,20061120,20240422,517,47.9411,11.9004,kirchen-Westerham-Lenzmühle,Bayern
1847,20080225,20240422,92,51.2743,12.0517,enfels-Wengelsdorf,Sachsen-Anhalt
1848,20060908,20240422,118,51.309,12.1718,ranstädt-Großlehna,Sachsen
1863,20071007,20240422,258,50.2667,9.1854,dau-Breitenborn,Hessen
1869,19911031,20240422,56,53.3154,13.9339,ow,Brandenburg
1870,20020522,20240422,160,49.5665,8.178,stadt,Rheinland-Pfalz
1886,20011206,20240422,444,48.4878,10.2608,burg,Bayern
1888,20041208,20240422,10,53.8119,12.114,m,Mecklenburg-Vorpommern
1937,20050110,20240422,525,48.3705,8.7666,erloch-Weildorf,Baden-Württemberg
1964,20050308,20240309,328,49.9445,6.3821,orf,Rheinland-Pfalz
1975,19950828,20240422,11,53.6332,9.9881,urg-Fuhlsbüttel,Hamburg
1981,20050214,20240422,4,53.4776,9.8957,urg-Neuwiedenthal,Hamburg
2011,20041212,20240422,50,52.3965,9.6629,over-Herrenhausen,Niedersachsen
2012,20100518,20240422,57,52.3671,9.819,over-Kirchrode,Niedersachsen
2014,19920429,20240422,55,52.4644,9.6779,over,Niedersachsen
2023,20021113,20240422,501,48.7918,10.7062,urg,Bayern
2027,20060418,20240422,63,51.9753,8.2094,ewinkel,Nordrhein-Westfalen
2039,20061017,20240422,203,51.9002,10.5699,"burg, Bad",Niedersachsen
2044,19910114,20240422,404,51.652,11.1366,gerode,Sachsen-Anhalt
2050,20060903,20240422,218,48.2766,8.0841,ach im Kinzigtal,Baden-Württemberg
2064,20041122,20240422,449,49.184,10.8243,dorf-Obererlbach,Bayern
2066,20020506,20240422,257,50.7384,9.6607,etal-Wehrda,Hessen
2074,20030629,20240422,518,48.3752,8.98,ingen,Baden-Württemberg
2088,20030423,20050512,522,48.6849,10.142,enheim/Brenz,Baden-Württemberg
2109,20020908,20240422,446,50.0664,9.3458,richsthal,Bayern
2110,20021023,20240422,57,51.0411,6.1042,sberg-Schleiden,Nordrhein-Westfalen
2115,19961219,20240422,4,54.175,7.892,oland,Schleswig-Holstein
